order,family,genus,species,brain_mass,body_mass,common_name
Rodentia,Muridae,Mesembriomys,gouldii,4.59,1110,Black-footed Mesembriomys
Rodentia,Muridae,Berylmys,bowersi,4.63,360.7,Bower s Berylmys
Rodentia,Muridae,Leopoldamys,edwardsi,4.81,332.1,Edward s Leopoldamys
Rodentia,Sciuridae,Callosciurus,notatus,4.91,209.5,Plantain Squirrel
Rodentia,Cricetidae,Ondatra,zibethicus,5.03,1136.45,Common Muskrat
Rodentia,Sciuridae,Xerus,rutilus,5.09,317.5,Unstriped Ground Squirrel
Rodentia,Sciuridae,Cynomys,gunnisoni,5.14,642.3,Gunnison's Prairie Dog
Rodentia,Sciuridae,Spermophilus,atricapillus,5.24,427.5,Baja California Rock Squirrel
Rodentia,Sciuridae,Heliosciurus,ruwenzorii,5.4,291,Ruwenzori Sun Squirrel
Rodentia,Sciuridae,Dremomys,rufigenis,5.41,240,Asian Red-cheeked Squirrel
Rodentia,Sciuridae,Spermophilus,beecheyi,5.42,564.9,California Ground Squirrel
Rodentia,Sciuridae,Cynomys,mexicanus,5.525,998,Mexican Prairie Dog
Rodentia,Sciuridae,Cynomys,parvidens,5.58,576,Utah Prairie Dog
Rodentia,Sciuridae,Cynomys,ludovicianus,5.69,865.15,Arizona black-tailed prairie dog
Rodentia,Sciuridae,Heliosciurus,rufobrachium,5.75,326,Red-legged Sun Squirrel
Rodentia,Sciuridae,Cynomys,leucurus,5.77,1021.15,White-tailed Prairie Dog
Rodentia,Sciuridae,Spermophilus,parryii,5.78,462.8,Arctic Ground Squirrel
Rodentia,Sciuridae,Sciurus,granatensis,5.91,400,Red-tailed Squirrel
Rodentia,Sciuridae,Sciurus,vulgaris,5.93,327.4,Eurasian Red Squirrel
Rodentia,Sciuridae,Callosciurus,caniceps,6.02,240,Gray-bellied Squirrel
Rodentia,Sciuridae,Spermophilopsis,leptodactylus,6.18,495,Long-clawed Ground Squirrel
Rodentia,Sciuridae,Callosciurus,prevostii,6.52,439,Prevost's Squirrel
Rodentia,Nesomyidae,Cricetomys,gambianus,6.57,1150,Gambian Rat
Rodentia,Sciuridae,Xerus,erythropus,6.68,722.5,Striped Ground Squirrel
Rodentia,Echimyidae,Proechimys,semispinosus,6.87,544.75,Tome s Spiny-rat
Rodentia,Sciuridae,Spermophilus,variegatus,7.01,703.15,Rock Squirrel
Rodentia,Aplodontiidae,Aplodontia,rufa,7.04,806,Mountain Beaver
Rodentia,Sciuridae,Sciurus,carolinensis,7.41,503.17,Eastern Gray Squirrel
Rodentia,Sciuridae,Sciurus,aberti,7.44,626.5,Abert's Squirrel
Rodentia,Sciuridae,Xerus,inauris,7.65,400,Cape ground squirrel
Rodentia,Sciuridae,Petaurista,elegans,7.76,924,Spotted Giant Flying Squirrel
Rodentia,Sciuridae,Sciurus,aureogaster,7.81,595,Mexican gray squirrel
Rodentia,Sciuridae,Sciurus,niger,7.91,516.32,Eastern Fox Squirrel
Rodentia,Sciuridae,Ratufa,affinis,9.85,982.5,Pale Giant Squirrel
Rodentia,Sciuridae,Aeromys,tephromelas,10.34,1189,Black Flying Squirrel
Rodentia,Sciuridae,Ratufa,bicolor,11.01,1320,Black Giant Squirrel
Rodentia,Sciuridae,Protoxerus,stangeri,11.33,639.5,Forest Giant Squirrel
Rodentia,Sciuridae,Marmota,menzbieri,11.4,3015,Menzbier's Marmot
Rodentia,Sciuridae,Petaurista,petaurista,11.77,1811.5,Red Giant Flying Squirrel
Rodentia,Sciuridae,Marmota,flaviventris,12.27,3350.5,Yellow-bellied Marmot
Rodentia,Sciuridae,Marmota,bobak,12.56,4922,Bobak Marmot
Rodentia,Sciuridae,Marmota,camtschatica,12.63,3314.5,Black-capped Marmot
Rodentia,Chinchillidae,Lagostomus,maximus,12.66,4270.75,Argentine Plains Viscacha
Rodentia,Thryonomyidae,Thryonomys,swinderianus,13.28,1625,Greater Cane Rat
Rodentia,Sciuridae,Marmota,vancouverensis,13.68,4250,Vancouver Island Marmot
Rodentia,Sciuridae,Marmota,sibirica,13.74,6500,Tarbagan Marmot
Rodentia,Sciuridae,Marmota,baibacina,13.75,5375,Gray Marmot
Rodentia,Sciuridae,Marmota,broweri,13.94,3405,Alaska Marmot
Rodentia,Sciuridae,Marmota,monax,14.185,2804.5,Groundhog
Rodentia,Sciuridae,Marmota,marmota,14.25,3813.65,Alpine Marmot
Rodentia,Sciuridae,Marmota,caudata,14.28,4242,Long-tailed Marmot
Rodentia,Sciuridae,Marmota,caligata,14.63,6300,Hoary Marmot
Rodentia,Sciuridae,Marmota,olympus,15.43,3478.8,Olympic Marmot
Rodentia,Sciuridae,Marmota,himalayana,16.71,6607.5,Himalayan Marmot
Rodentia,Myocastoridae,Myocastor,coypus,17.09,7052,Coypu
Rodentia,Dasyproctidae,Dasyprocta,punctata,18.34,3172,Central American Agouti
Rodentia,Erethizontidae,Erethizon,dorsata,24.6,5397,North American Porcupine
Rodentia,Dinomyidae,Dinomys,branickii,26.95,14000,Pacarana
Rodentia,Cuniculidae,Cuniculus,paca,35.22,4607,Lowland Paca
